source_page,file_url,label,file_type,school,subject,grade,term
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-一年級國語期中.pdf,110-1-一年級國語期中.pdf,pdf,獅湖國小,國文,1,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-一年級數學期中.pdf,110-1-一年級數學期中.pdf,pdf,獅湖國小,數學,1,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-二年級國語期中.pdf,110-1-二年級國語期中.pdf,pdf,獅湖國小,國文,2,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-二年級數學期中.pdf,110-1-二年級數學期中.pdf,pdf,獅湖國小,數學,2,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-三年級國語期中.pdf,110-1-三年級國語期中.pdf,pdf,獅湖國小,國文,3,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-三年級數學期中.pdf,110-1-三年級數學期中.pdf,pdf,獅湖國小,數學,3,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-三年級自然期中.pdf,110-1-三年級自然期中.pdf,pdf,獅湖國小,自然,3,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-三年級社會期中.pdf,110-1-三年級社會期中.pdf,pdf,獅湖國小,社會,3,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-三年級英語期中.pdf,110-1-三年級英語期中.pdf,pdf,獅湖國小,英文,3,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-四年級國語期中.pdf,110-1-四年級國語期中.pdf,pdf,獅湖國小,國文,4,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-四年級數學期中.pdf,110-1-四年級數學期中.pdf,pdf,獅湖國小,數學,4,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-四年級自然期中.pdf,110-1-四年級自然期中.pdf,pdf,獅湖國小,自然,4,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-四年級社會期中.pdf,110-1-四年級社會期中.pdf,pdf,獅湖國小,社會,4,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-四年級英語期中.pdf,110-1-四年級英語期中.pdf,pdf,獅湖國小,英文,4,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-五年級國語期中.pdf,110-1-五年級國語期中.pdf,pdf,獅湖國小,國文,5,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-五年級數學期中.pdf,110-1-五年級數學期中.pdf,pdf,獅湖國小,數學,5,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-五年級自然期中.pdf,110-1-五年級自然期中.pdf,pdf,獅湖國小,自然,5,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-五年級社會期中.pdf,110-1-五年級社會期中.pdf,pdf,獅湖國小,社會,5,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-五年級英語期中.pdf,110-1-五年級英語期中.pdf,pdf,獅湖國小,英文,5,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/57,https://affairs.kh.edu.tw/sites/1613/upload_file/57/110-1-六年級國語期中.pdf,110-1-六年級國語期中.pdf,pdf,獅湖國小,國文,6,110-1
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1一年級國語期中考(首冊).pdf,111-1一年級國語期中考(首冊).pdf,pdf,獅湖國小,國文,1,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1二年級國語期中考.pdf,111-1二年級國語期中考.pdf,pdf,獅湖國小,國文,2,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1二年級數學期中考.pdf,111-1二年級數學期中考.pdf,pdf,獅湖國小,數學,2,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1三年級國語期中考.pdf,111-1三年級國語期中考.pdf,pdf,獅湖國小,國文,3,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1三年級數學期中考.pdf,111-1三年級數學期中考.pdf,pdf,獅湖國小,數學,3,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1三年級自然期中考.pdf,111-1三年級自然期中考.pdf,pdf,獅湖國小,自然,3,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1三年級社會期中考.pdf,111-1三年級社會期中考.pdf,pdf,獅湖國小,社會,3,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1三年級英語期中考.pdf,111-1三年級英語期中考.pdf,pdf,獅湖國小,英文,3,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1四年級國語期中考.pdf,111-1四年級國語期中考.pdf,pdf,獅湖國小,國文,4,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1四年級數學期中考.pdf,111-1四年級數學期中考.pdf,pdf,獅湖國小,數學,4,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1四年級自然期中考.pdf,111-1四年級自然期中考.pdf,pdf,獅湖國小,自然,4,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1四年級社會期中考.pdf,111-1四年級社會期中考.pdf,pdf,獅湖國小,社會,4,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1四年級英語期中考.pdf,111-1四年級英語期中考.pdf,pdf,獅湖國小,英文,4,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1五年級國語期中考.pdf,111-1五年級國語期中考.pdf,pdf,獅湖國小,國文,5,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1五年級數學期中考.pdf,111-1五年級數學期中考.pdf,pdf,獅湖國小,數學,5,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1五年級自然期中考.pdf,111-1五年級自然期中考.pdf,pdf,獅湖國小,自然,5,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1五年級社會期中考.pdf,111-1五年級社會期中考.pdf,pdf,獅湖國小,社會,5,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1五年級英語期中考.pdf,111-1五年級英語期中考.pdf,pdf,獅湖國小,英文,5,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1六年級國語期中考.pdf,111-1六年級國語期中考.pdf,pdf,獅湖國小,國文,6,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/63,https://affairs.kh.edu.tw/sites/1613/upload_file/63/111-1六年級數學期中考.pdf,111-1六年級數學期中考.pdf,pdf,獅湖國小,數學,6,111-1 / 期中考
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1一年級國語期中.pdf,112-1一年級國語期中.pdf,pdf,獅湖國小,國文,1,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1一年級數學期中.pdf,112-1一年級數學期中.pdf,pdf,獅湖國小,數學,1,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1二年級國語期中.pdf,112-1二年級國語期中.pdf,pdf,獅湖國小,國文,2,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1二年級數學期中.pdf,112-1二年級數學期中.pdf,pdf,獅湖國小,數學,2,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1三年級自然期中.pdf,112-1三年級自然期中.pdf,pdf,獅湖國小,自然,3,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1三年級社會期中.pdf,112-1三年級社會期中.pdf,pdf,獅湖國小,社會,3,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1三年級英語期中.pdf,112-1三年級英語期中.pdf,pdf,獅湖國小,英文,3,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1三年級國語期中.pdf,112-1三年級國語期中.pdf,pdf,獅湖國小,國文,3,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1三年級數學期中.pdf,112-1三年級數學期中.pdf,pdf,獅湖國小,數學,3,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1四年級自然期中.pdf,112-1四年級自然期中.pdf,pdf,獅湖國小,自然,4,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1四年級社會期中.pdf,112-1四年級社會期中.pdf,pdf,獅湖國小,社會,4,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1四年級英語期中.pdf,112-1四年級英語期中.pdf,pdf,獅湖國小,英文,4,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1四年級國語期中.pdf,112-1四年級國語期中.pdf,pdf,獅湖國小,國文,4,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1四年級數學期中.pdf,112-1四年級數學期中.pdf,pdf,獅湖國小,數學,4,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1五年級自然期中.pdf,112-1五年級自然期中.pdf,pdf,獅湖國小,自然,5,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1五年級社會期中.pdf,112-1五年級社會期中.pdf,pdf,獅湖國小,社會,5,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1五年級英語期中.pdf,112-1五年級英語期中.pdf,pdf,獅湖國小,英文,5,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1五年級國語期中.pdf,112-1五年級國語期中.pdf,pdf,獅湖國小,國文,5,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1五年級數學期中.pdf,112-1五年級數學期中.pdf,pdf,獅湖國小,數學,5,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/69,https://affairs.kh.edu.tw/sites/1613/upload_file/69/112-1六年級自然期中.pdf,112-1六年級自然期中.pdf,pdf,獅湖國小,自然,6,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/70,https://affairs.kh.edu.tw/sites/1613/upload_file/70/112-1一年級國語期末.pdf,112-1一年級國語期末.pdf,pdf,獅湖國小,國文,1,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/70,https://affairs.kh.edu.tw/sites/1613/upload_file/70/112-1一年級數學期末.pdf,112-1一年級數學期末.pdf,pdf,獅湖國小,數學,1,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/70,https://affairs.kh.edu.tw/sites/1613/upload_file/70/112-1一年級生活期末.pdf,112-1一年級生活期末.pdf,pdf,獅湖國小,,1,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/70,https://affairs.kh.edu.tw/sites/1613/upload_file/70/112-1二年級國語期末.pdf,112-1二年級國語期末.pdf,pdf,獅湖國小,國文,2,112-1
https://affairs.kh.edu.tw/1613/upload/file_list/70,https://affairs.kh.edu.tw/sites/1613/upload_file/70/112-1二年級數學期末.pdf,112-1二年級數學期末.pdf,pdf,獅湖國小,數學,2,112-1
